Entity,Year,share_gdp_primary,share_gdp_secondary,share_gdp_tertiary,share_pop_tertiary,primary_rate,secondary_rate
Albania,2013,2.01438999176025,0.701640009880066,0.775849997997284,,94.5227432250977,93.1561279296875
Algeria,1999,1.90129995346069,2.05296993255615,,,82.3473815917969,54.9269790649414
Algeria,2000,1.54446995258331,1.67496001720428,,3.4,79.7354278564453,51.5190696716309
Algeria,2002,1.61837995052338,1.87599003314972,,,87.8553695678711,60.3371810913086
Algeria,2003,1.64054000377655,1.91256999969482,,,89.6277389526367,61.1325988769531
Andorra,2002,0.460500001907349,0.274190008640289,0.116779997944832,,,
Andorra,2004,0.448659986257553,0.28753000497818,0.0760800018906593,,,
Andorra,2005,0.386229991912842,0.329950004816055,0.0621300004422665,,,
Andorra,2006,0.521329998970032,0.471560001373291,0.145410001277924,,,
Andorra,2007,0.531799972057343,0.511189997196198,0.0939999967813492,,,
Andorra,2009,0.834389984607697,0.826650023460388,0.113839998841286,,,
Andorra,2010,0.885869979858398,0.64180999994278,0.118380002677441,,,
Andorra,2011,0.910040020942688,0.674730002880096,0.121320001780987,,,
Andorra,2013,0.791570007801056,0.867990016937256,0.112999998033047,,,
Andorra,2014,0.683059990406036,0.628400027751923,0.186179995536804,,,
Angola,2005,0.773810029029846,1.17068004608154,0.175620004534721,,,
Angola,2006,0.717140018939972,0.967890024185181,0.198510006070137,,,
Antigua and Barbuda,1999,1.07176005840302,1.20680999755859,0.487619996070862,,,
Antigua and Barbuda,2002,0.983720004558563,1.21113002300262,0.23149000108242,,,
Antigua and Barbuda,2009,1.06299996376038,1.23617005348206,0.187830001115799,,95.5457992553711,77.4071731567383
Argentina,1998,1.41680002212524,1.34174001216888,0.854759991168976,,100.085029602051,
Argentina,1999,1.64340996742249,1.66881000995636,0.775080025196075,,98.2170562744141,80.8092422485352
Argentina,2000,1.63477003574371,1.63531994819641,0.830640017986298,3.1,98.4937362670898,85.7895431518555
Argentina,2001,1.83290004730225,1.77037000656128,0.828119993209839,,98.0842132568359,86.1636581420898
Argentina,2002,1.42349994182587,1.57648003101349,0.702740013599396,,102.027633666992,85.8238830566406
Argentina,2003,1.34384000301361,1.31714999675751,0.572220027446747,,99.9220962524414,81.6106262207031
Argentina,2004,1.15831005573273,1.19314002990723,0.543079972267151,,98.5624389648438,80.1396026611328
Argentina,2005,1.18798005580902,1.44823002815247,0.564249992370605,3.09,96.6847915649414,81.444580078125
Argentina,2006,1.28079998493195,1.46276998519897,0.648909986019135,,99.1302032470703,78.1453628540039
Argentina,2007,1.38224005699158,1.52913999557495,0.691590011119843,,101.849502563477,76.5167922973633
Argentina,2008,1.52313995361328,1.70013999938965,0.766070008277893,,105.061973571777,78.3074569702148
Argentina,2009,1.60404002666473,1.99380004405975,0.92179000377655,,104.986251831055,79.5692901611328
Argentina,2010,1.52262997627258,1.82642996311188,0.914740025997162,2.87,104.809219360352,83.4096298217773
Argentina,2011,1.59405994415283,2.01805996894836,0.968980014324188,,104.417861938477,87.0198287963867
Argentina,2012,1.62144005298615,2.06196999549866,1.01678001880646,,103.224769592285,87.6616516113281
Argentina,2013,1.6049599647522,2.2192599773407,1.08135998249054,,100.877372741699,89.4523162841797
Armenia,2012,0.708500027656555,1.50941002368927,0.277449995279312,,,
Armenia,2013,0.532970011234283,1.29542994499207,0.273440003395081,,,
Aruba,1998,1.09872996807098,1.19068002700806,0.481169998645782,,,
Aruba,1999,1.18455994129181,1.28446996212006,0.511600017547607,,101.619117736816,93.6170196533203
Aruba,2000,1.33183002471924,1.30587995052338,0.499049991369247,,97.215950012207,94.7530899047852
Aruba,2001,1.23860001564026,1.40056002140045,0.576430022716522,,94.3355102539063,98.2667694091797
Aruba,2002,1.4279500246048,1.37937998771667,0.583039999008179,,94.755241394043,97.2099914550781
Aruba,2004,1.17736005783081,1.25302994251251,0.483700007200241,,90.5598983764648,87.5594787597656
Aruba,2005,1.25127005577087,1.25295996665955,0.537599980831146,,88.1979675292969,87.5902786254883
Australia,2000,1.66751003265381,1.88883996009827,1.14632999897003,13.15,,
Australia,2005,1.70098996162415,1.95091998577118,1.09037005901337,15.63,,
Australia,2006,1.65921998023987,1.87899994850159,1.04294002056122,,,
Australia,2007,1.63798999786377,1.81488001346588,1.04885005950928,,,
Australia,2008,1.641970038414,1.78998005390167,1.04103004932404,,,
Australia,2009,1.83148002624512,1.92408001422882,1.12611997127533,,,
Australia,2010,2.04976010322571,2.04874992370605,1.24056994915009,18.52,,
Australia,2011,1.83422005176544,1.86581003665924,1.18307995796204,,,
Australia,2012,1.67166996002197,1.72657001018524,1.15940999984741,,,
Australia,2013,1.72976005077362,1.74274003505707,1.36765003204346,,,
Austria,1998,1.1873300075531,2.69646000862122,1.60537004470825,,101.055191040039,
Austria,1999,1.18720996379852,2.74616003036499,1.6039799451828,,101.013282775879,
Austria,2000,1.10299003124237,2.54295992851257,1.40042996406555,7.06,,
Austria,2001,1.09713995456696,2.52539992332459,1.32070994377136,,,
Austria,2002,1.09542000293732,2.52934002876282,1.24879002571106,,100.359748840332,103.762901306152
Austria,2003,1.06147003173828,2.63384008407593,1.26581001281738,,101.118347167969,103.968307495117
Austria,2004,1.00836002826691,2.51571989059448,1.38989996910095,,98.8952865600586,
Austria,2005,1.00134003162384,2.42158007621765,1.43821001052856,8.27,98.7244186401367,
Austria,2006,0.975390017032623,2.44677996635437,1.4268000125885,,100.492721557617,102.47868347168
Austria,2007,0.933350026607513,2.39597010612488,1.43669998645782,,102.914779663086,101.501358032227
Austria,2008,0.944970011711121,2.4513099193573,1.44049000740051,,100.597007751465,100.769950866699
Austria,2009,1.00511002540588,2.69532990455627,1.5108300447464,,99.0576019287109,100.069259643555
Austria,2010,0.980859994888306,2.53960990905762,1.58666002750397,9.37,98.5688171386719,101.926322937012
Austria,2011,0.960640013217926,2.54907989501953,1.50916004180908,,96.8976974487305,101.847816467285
Austria,2012,0.852580010890961,2.27080011367798,1.82114994525909,,96.7605361938477,99.0087585449219
Austria,2013,0.90719997882843,2.29305005073547,1.79955995082855,,97.8650665283203,96.7352294921875
Bangladesh,1999,0.948310017585754,0.80731999874115,0.233769997954369,,,51.1918106079102
Bangladesh,2000,0.987959980964661,0.767270028591156,0.214959993958473,1.98,,53.1592216491699
Bangladesh,2002,0.909839987754822,0.882619976997375,0.22469000518322,,,58.6348915100098
Bangladesh,2003,0.940090000629425,0.940789997577667,0.188529998064041,,,58.886531829834
Bangladesh,2004,0.77581000328064,0.940400004386902,0.22393000125885,,,54.4772911071777
Bangladesh,2006,0.894219994544983,0.925459980964661,0.275530010461807,,,52.4073600769043
Bangladesh,2007,1.01856005191803,0.898109972476959,0.252539992332459,,,53.2610206604004
Bangladesh,2008,0.930610001087189,0.813440024852753,0.272540003061295,,57.2895812988281,
Bangladesh,2009,0.867470026016235,0.779760003089905,0.261849999427795,,63.5055389404297,55.3761711120605
Barbados,1999,0.971350014209747,1.41346001625061,1.36620998382568,,94.900993347168,104.482002258301
Barbados,2000,1.27779996395111,1.64275002479553,1.26823997497559,0.66,98.3906936645508,101.13468170166
Barbados,2001,1.73666000366211,1.94748997688293,1.72483003139496,,106.100860595703,99.0793685913086
Barbados,2002,1.53090000152588,1.9519100189209,1.72521996498108,,103.503578186035,94.4947204589844
Barbados,2003,1.64191997051239,2.14299011230469,1.75224995613098,,106.636947631836,101.389587402344
Barbados,2004,1.61436998844147,1.91751003265381,1.85969996452332,,97.660530090332,108.011123657227
Barbados,2005,1.54998004436493,1.76125001907349,1.7546900510788,1.53,91.6708602905273,106.425498962402
Barbados,2008,1.86538994312286,1.48644995689392,1.52288997173309,,94.5754699707031,99.0797500610352
Belgium,2001,1.33229005336761,2.53280997276306,1.3036299943924,,,
Belgium,2002,1.33200001716614,2.64403009414673,1.29244995117188,,,
Belgium,2003,1.41250002384186,2.50460004806519,1.27662003040314,,,
Belgium,2004,1.37953996658325,2.49794006347656,1.25501000881195,,,
Belgium,2005,1.36146998405457,2.48635005950928,1.25171005725861,15.82,,
Belgium,2006,1.3773900270462,2.48409008979797,1.2869199514389,,85.8815002441406,89.6639862060547
Belgium,2007,1.37546002864838,2.51017999649048,1.26925003528595,,86.1822280883789,86.4655685424805
Belgium,2008,1.49600994586945,2.72116994857788,1.34106004238129,,86.6153182983398,84.110481262207
Belgium,2009,1.46116995811462,2.77883005142212,1.43869996070862,,87.7343063354492,84.8217315673828
Belgium,2010,1.50694000720978,2.72371006011963,1.42053997516632,17.69,89.0166015625,90.2301788330078
Belgium,2011,1.48869001865387,2.72997999191284,1.40314996242523,,,93.3878326416016
Belgium,2012,1.54683995246887,2.75524997711182,1.43382000923157,,88.8314590454102,93.9875793457031
Belize,1999,3.23768997192383,1.69113004207611,0.349159985780716,,98.9354400634766,49.8674201965332
Belize,2000,3.04442000389099,1.59018003940582,0.328319996595383,3.33,100.033409118652,52.1156616210938
Belize,2004,2.25998997688293,2.07513999938965,0.570609986782074,,97.6942291259766,62.0695304870605
Belize,2005,2.49234008789063,2.16448998451233,,3.2,98.4974212646484,62.1970710754395
Belize,2006,2.56291007995605,2.19254994392395,,,97.5219268798828,63.4165191650391
Belize,2008,2.691890001297,2.29467010498047,0.522669970989227,,94.9693069458008,55.3670692443848
Belize,2009,2.76097989082336,2.43436002731323,0.665769994258881,,99.7106399536133,59.7382316589355
Belize,2010,3.04916000366211,2.72316002845764,0.573780000209808,3.18,100.78125,60.2446517944336
Belize,2012,2.44004011154175,2.47725009918213,0.593270003795624,,108.085319519043,64.3162384033203
Belize,2013,2.48957991600037,2.37119007110596,0.8435999751091,,101.71167755127,65.2715835571289
Benin,2000,1.48404002189636,0.742179989814758,0.628470003604889,1.01,37.2643890380859,15.0436401367188
Benin,2001,1.78989005088806,0.811420023441315,0.592149972915649,,40.9920196533203,16.3053798675537
Benin,2002,1.59318995475769,0.718129992485046,0.64002001285553,,43.0332908630371,17.7840805053711
Benin,2003,1.64089000225067,0.836549997329712,0.642830014228821,,47.2276992797852,
